date,temp,humidity,windspeed
2024-01-01,12.0,81.3,11.2
2024-01-02,11.1,82.3,11.2
2024-01-03,10.7,88.1,11.2
2024-01-04,10.2,92.7,13.0
2024-01-05,12.0,92.9,11.2
2024-01-06,12.2,84.5,11.2
2024-01-07,11.5,81.3,7.6
2024-01-08,10.9,88.0,7.6
2024-01-09,10.8,90.7,13.0
2024-01-10,9.7,87.3,14.8
2024-01-11,10.6,83.5,11.2
2024-01-12,10.2,83.5,9.4
2024-01-13,11.1,86.4,7.6
2024-01-14,10.7,86.6,9.4
2024-01-15,10.4,80.8,9.4
2024-01-16,10.2,88.3,14.8
2024-01-17,10.8,82.3,9.4
2024-01-18,10.6,86.6,9.4
2024-01-19,9.9,89.6,11.2
2024-01-20,11.5,82.1,7.6
2024-01-21,9.2,90.2,13.0
2024-01-22,10.4,82.7,9.4
2024-01-23,11.8,85.0,11.2
2024-01-24,11.5,85.7,11.2
2024-01-25,10.9,87.3,9.4
2024-01-26,12.5,75.2,9.4
2024-01-27,14.1,67.6,15.0
2024-01-28,13.4,77.2,14.8
2024-01-29,14.1,84.0,11.2
2024-01-30,12.7,92.0,9.4
2024-01-31,12.8,95.8,14.8
2024-02-01,15.2,93.9,22.3
2024-02-02,12.9,94.0,14.8
2024-02-03,14.0,74.0,9.4
2024-02-04,16.1,86.7,13.0
2024-02-05,16.1,83.7,13.0
2024-02-06,13.5,72.6,14.8
2024-02-07,13.5,67.4,18.4
2024-02-08,14.2,66.3,22.3
2024-02-09,15.0,57.2,12.6
2024-02-10,15.0,69.0,9.4
2024-02-11,15.2,73.2,9.4
2024-02-12,15.6,78.8,11.2
2024-02-13,15.9,80.7,10.6
2024-02-14,16.7,76.2,13.0
2024-02-15,17.0,70.6,14.8
2024-02-16,17.4,62.6,13.0
2024-02-17,17.2,61.2,14.8
2024-02-18,19.4,58.7,13.0
2024-02-19,21.0,55.9,24.1
2024-02-20,21.0,71.9,14.8
2024-02-21,19.4,65.9,14.8
2024-02-22,19.0,50.3,14.8
2024-02-23,17.0,50.1,14.8
2024-02-24,17.6,48.3,7.6
2024-02-25,18.5,42.9,16.6
2024-02-26,18.9,41.4,9.4
