datetime,temp,windspeed,humidity,cloudcover,precip,temp_lag1,temp_lag2,temp_lag3,temp_lag4,temp_lag5,temp_lag6,temp_lag7
2024-05-04,32.9,14.8,22.4,56.4,0.0,30.5,28.8,28.2,29.8,31.0,31.3,31.6
2024-05-05,34.0,14.8,23.2,15.8,0.0,32.9,30.5,28.8,28.2,29.8,31.0,31.3
2024-05-06,34.3,20.5,26.6,15.7,0.0,34.0,32.9,30.5,28.8,28.2,29.8,31.0
2024-05-07,34.3,16.6,32.0,39.3,0.0,34.3,34.0,32.9,30.5,28.8,28.2,29.8
2024-05-08,32.3,20.5,49.7,20.6,0.0,34.3,34.3,34.0,32.9,30.5,28.8,28.2
2024-05-09,31.6,20.5,47.8,1.2,0.0,32.3,34.3,34.3,34.0,32.9,30.5,28.8
2024-05-10,32.6,27.7,48.4,24.1,0.0,31.6,32.3,34.3,34.3,34.0,32.9,30.5
2024-05-11,31.9,27.7,40.4,50.5,0.126,32.6,31.6,32.3,34.3,34.3,34.0,32.9
2024-05-12,33.1,13.0,40.5,44.2,0.0,31.9,32.6,31.6,32.3,34.3,34.3,34.0
2024-05-13,34.2,16.6,33.4,39.9,0.0,33.1,31.9,32.6,31.6,32.3,34.3,34.3
2024-05-14,34.0,20.5,28.4,17.6,0.0,34.2,33.1,31.9,32.6,31.6,32.3,34.3
2024-05-15,34.4,16.6,23.0,0.0,0.0,34.0,34.2,33.1,31.9,32.6,31.6,32.3
2024-05-16,35.2,13.0,27.8,0.3,0.0,34.4,34.0,34.2,33.1,31.9,32.6,31.6
2024-05-17,37.2,16.6,24.4,12.5,0.0,35.2,34.4,34.0,34.2,33.1,31.9,32.6
2024-05-18,37.3,18.4,24.5,14.2,0.0,37.2,35.2,34.4,34.0,34.2,33.1,31.9
2024-05-19,38.2,18.4,22.1,14.3,0.0,37.3,37.2,35.2,34.4,34.0,34.2,33.1
2024-05-20,38.0,18.4,22.1,30.1,0.0,38.2,37.3,37.2,35.2,34.4,34.0,34.2
2024-05-21,35.8,18.4,39.2,24.1,0.0,38.0,38.2,37.3,37.2,35.2,34.4,34.0
2024-05-22,35.9,18.4,43.6,17.5,0.0,35.8,38.0,38.2,37.3,37.2,35.2,34.4
2024-05-23,35.2,22.3,44.4,21.2,0.0,35.9,35.8,38.0,38.2,37.3,37.2,35.2
2024-05-24,35.4,22.3,43.0,4.4,0.0,35.2,35.9,35.8,38.0,38.2,37.3,37.2
2024-05-25,37.4,18.4,34.8,9.2,0.0,35.4,35.2,35.9,35.8,38.0,38.2,37.3
2024-05-26,38.1,16.6,25.4,0.0,0.0,37.4,35.4,35.2,35.9,35.8,38.0,38.2
2024-05-27,38.7,16.6,23.7,0.4,0.0,38.1,37.4,35.4,35.2,35.9,35.8,38.0
2024-05-28,38.7,16.6,22.2,0.0,0.0,38.7,38.1,37.4,35.4,35.2,35.9,35.8
2024-05-29,37.9,16.6,25.8,27.3,0.0,38.7,38.7,38.1,37.4,35.4,35.2,35.9
2024-05-30,39.1,18.4,22.2,24.0,0.0,37.9,38.7,38.7,38.1,37.4,35.4,35.2
2024-05-31,38.7,18.4,23.8,14.7,0.0,39.1,37.9,38.7,38.7,38.1,37.4,35.4
2024-06-01,36.6,18.4,26.5,65.6,0.0,38.7,39.1,37.9,38.7,38.7,38.1,37.4
